ts,team_id,team,old_score,new_score,delta_counts,finish_time
2026-07-04 21:40,54753707,nimayagrawal11,0.917643,0.9191,102,2026-07-04 21:28:27+05:30
2026-07-04 21:55,54657192,pgp25.manmeet,0.919,0.929029,702,2026-07-04 21:34:38+05:30
2026-07-04 22:10,54806608,nazar_is_real,0.928586,0.928743,11,2026-07-04 21:55:49+05:30
2026-07-05 12:29,54156969,Select,0.929143,0.931171,142,2026-07-04 23:41:06+05:30
2026-07-05 12:29,54757895,bahubali,0.928671,0.930029,95,2026-07-05 01:06:52+05:30
2026-07-05 12:29,54742587,Imagine Losing,0.928214,0.929629,99,2026-07-04 22:19:48+05:30
2026-07-05 12:29,54583757,adarsh.mishra.che24,0.926871,0.928471,112,2026-07-04 23:08:45+05:30
2026-07-05 12:29,54678119,RTC,0.922186,0.922829,45,2026-07-04 22:19:57+05:30
2026-07-05 12:29,54697345,simba,0.920057,0.921243,83,2026-07-05 02:01:15+05:30
2026-07-05 12:45,54411441,Thinkers,0.926429,0.926943,36,2026-07-05 12:17:16+05:30
2026-07-05 13:00,54825533,strat_amex,0.925843,0.926729,62,2026-07-05 12:57:35+05:30
2026-07-05 13:00,54535356,lesgoo,0.924886,0.925214,23,2026-07-05 12:46:52+05:30
2026-07-05 13:15,54810573,Gamma,0.9306,0.930743,10,2026-07-05 13:06:57+05:30
2026-07-05 13:15,54825533,strat_amex,0.926729,0.927857,79,2026-07-05 13:07:03+05:30
2026-07-05 13:46,54034831,Amex,0.919657,0.925414,403,2026-07-05 13:31:29+05:30
2026-07-05 14:01,54305187,LameX,0.925271,0.928329,214,2026-07-05 13:52:15+05:30
2026-07-05 14:46,54600408,SLA24,0.9292,0.934657,382,2026-07-05 14:44:16+05:30
2026-07-05 15:01,54621887,VNN,0.924343,0.927929,251,2026-07-05 14:55:01+05:30
2026-07-05 15:01,54862510,skibidee,0.922986,0.924514,107,2026-07-05 14:46:10+05:30
2026-07-05 15:01,54598332,yessir,0.9224,0.923843,101,2026-07-05 14:50:51+05:30
2026-07-05 15:16,54655361,a105,0.924357,0.927971,253,2026-07-05 15:11:41+05:30
2026-07-05 17:02,54874303,ishanvirsingh.bt24cse,0.927043,0.927729,48,2026-07-05 16:53:57+05:30
2026-07-05 17:18,54657192,pgp25.manmeet,0.929029,0.930129,77,2026-07-05 17:12:29+05:30
2026-07-05 17:18,54874303,ishanvirsingh.bt24cse,0.927729,0.929214,104,2026-07-05 17:08:48+05:30
2026-07-05 17:33,54463046,GP,0.9295,0.932357,200,2026-07-05 17:23:37+05:30
2026-07-05 17:33,54630122,capitals,0.928057,0.929057,70,2026-07-05 17:17:16+05:30
2026-07-05 17:48,54875614,ruzumath,0.927543,0.9282,46,2026-07-05 17:32:54+05:30
2026-07-05 18:03,54875614,ruzumath,0.9282,0.928314,8,2026-07-05 17:59:12+05:30
2026-07-05 18:18,54857355,cgadak,0.925314,0.9313,419,2026-07-05 18:02:14+05:30
2026-07-05 18:18,54875614,ruzumath,0.928314,0.929229,64,2026-07-05 18:04:05+05:30
2026-07-05 18:33,54879529,Thalapathy,0.928886,0.9308,134,2026-07-05 18:15:41+05:30
2026-07-05 18:48,54599581,Hot chocolate,0.929229,0.929514,20,2026-07-05 18:34:00+05:30
2026-07-05 18:48,54305187,LameX,0.928329,0.929257,65,2026-07-05 18:43:55+05:30
2026-07-05 20:19,54786256,pppap0044,0.918129,0.924157,422,2026-07-05 20:05:44+05:30
2026-07-05 22:06,54806202,RSA512,0.9306,0.930843,17,2026-07-05 21:50:15+05:30
2026-07-05 22:06,54865687,ritik.chandra009,0.9252,0.929129,275,2026-07-05 21:59:37+05:30
2026-07-05 22:21,54806202,RSA512,0.930843,0.930929,6,2026-07-05 22:03:52+05:30
2026-07-05 22:36,54806202,RSA512,0.930929,0.931543,43,2026-07-05 22:23:20+05:30
2026-07-05 22:36,54899166,22f3000937,0.9254,0.929157,263,2026-07-05 22:27:55+05:30
