rank,score,team,org,finish_time
1,0.935814,ILoveIndeNavarrette,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 23:40:59+05:30
2,0.934286,EpochZero,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-03 22:45:26+05:30
3,0.933314,aryavart23,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 14:31:43+05:30
4,0.932886,Pls give job,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 14:20:47+05:30
5,0.931629,orange,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 22:41:38+05:30
6,0.930229,S³,"Indian Institute of Management (IIM), Mumbai",2026-07-04 01:30:32+05:30
7,0.930129,nishant.mittal25,"Indian Institute of Management (IIM), Bangalore",2026-07-03 01:28:39+05:30
8,0.929857,She-E-Os,"Xavier School of Management (XLRI), Delhi",2026-07-04 01:51:25+05:30
9,0.9296,Maglev,"Indian Institute of Management (IIM), Bangalore",2026-07-03 01:09:45+05:30
10,0.929286,ACE,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 23:20:15+05:30
11,0.929143,Select,"Xavier School of Management (XLRI), Delhi",2026-07-04 18:21:34+05:30
12,0.928929,Bye Bye Sarvam!,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 10:49:53+05:30
13,0.9287,gijadi8245,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 16:10:44+05:30
14,0.928671,hey_there,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 03:58:35+05:30
14,0.928671,bahubali,"Indian Institute of Technology (IIT), Delhi",2026-07-04 18:11:04+05:30
15,0.928657,i'm lost pls help,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 01:04:36+05:30
16,0.928586,c.udayraj,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 02:20:09+05:30
17,0.928557,sushantpandey2612004,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 15:03:50+05:30
18,0.928414,aryanlamba360,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 09:08:04+05:30
19,0.928357,Shailendra,"Department of Management Studies (DoMS), Indian Institute of Technology (IIT), Madras",2026-07-03 02:26:01+05:30
20,0.928229,Sarvam,"Department of Management Studies (DoMS), Indian Institute of Technology (IIT), Madras",2026-07-02 11:59:26+05:30
21,0.928214,Imagine Losing,Xavier School of Management (XLRI),2026-07-04 19:16:21+05:30
22,0.928129,b25090,"Xavier School of Management (XLRI), Jamshedpur",2026-07-03 22:28:11+05:30
23,0.928071,abhay_here,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 01:59:31+05:30
24,0.928057,capitals,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 02:37:05+05:30
25,0.927957,Acers,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 02:16:24+05:30
26,0.927886,SamayRaina,"Indian Institute of Technology (IIT), Delhi",2026-07-03 00:21:56+05:30
27,0.927714,please_intern_dedo,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 07:15:52+05:30
28,0.9277,b25102,"Xavier School of Management (XLRI), Jamshedpur",2026-07-03 22:14:15+05:30
29,0.927429,ph1230208,"Indian Institute of Technology (IIT), Delhi",2026-07-02 16:36:52+05:30
30,0.926971,bb_ti_HR36,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 22:52:29+05:30
31,0.926871,adarsh.mishra.che24,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 19:00:34+05:30
32,0.926429,Thinkers,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 01:27:44+05:30
33,0.926243,gauraang006,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 04:23:51+05:30
34,0.926029,Qwerty,"Xavier School of Management (XLRI), Jamshedpur",2026-07-03 13:11:34+05:30
35,0.925929,The Big Bank Theory,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 11:07:04+05:30
36,0.925857,Famouse,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 17:46:15+05:30
37,0.9258,Fodugang,"Indian Institute of Technology (IIT), Kharagpur",2026-07-02 16:39:38+05:30
38,0.925786,21f2000272,"Indian Institute of Technology (IIT), Madras",2026-07-03 03:16:03+05:30
39,0.925714,atharvbellikar,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 04:42:11+05:30
40,0.9254,Alpha,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-02 18:11:41+05:30
41,0.925271,LameX,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-04 17:56:30+05:30
42,0.925214,Mahishmati,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 00:48:16+05:30
43,0.925171,kshitij.rana25,"Indian Institute of Management (IIM), Bangalore",2026-07-03 00:53:25+05:30
44,0.924743,SNIPER,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-03 03:21:59+05:30
45,0.924686,math_lovers,"Indian Institute of Technology (IIT), Kharagpur",2026-07-01 22:37:00+05:30
46,0.923743,nikhilpandey6159,Chennai Mathematical Institute,2026-07-03 15:32:24+05:30
46,0.923743,Place Holder,"Indian Institute of Management (IIM), Lucknow",2026-07-03 15:37:29+05:30
47,0.923371,atharvsoni1208,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 12:04:28+05:30
48,0.923229,pranitsaluja007,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 03:24:51+05:30
49,0.922843,Geoparadise,"Xavier School of Management (XLRI), Jamshedpur",2026-07-04 12:50:34+05:30
50,0.922829,pgdm25shreya_s,"Management Development Institute (MDI), Gurgaon",2026-07-04 04:14:41+05:30
50,0.922829,MnM,"Management Development Institute (MDI), Gurgaon",2026-07-04 05:07:16+05:30
51,0.922814,p25prathamg,"Indian Institute of Management (IIM), Indore",2026-07-04 18:51:24+05:30
52,0.922186,RTC,"Indian Institute of Technology (IIT), Delhi",2026-07-04 14:25:05+05:30
53,0.921957,AMex,"Indian Institute of Technology (IIT), Delhi",2026-07-02 03:49:45+05:30
54,0.921943,NullHypothesis,"Indian Institute of Technology (IIT), Delhi",2026-07-02 03:28:50+05:30
55,0.9219,abhishekku23,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 12:09:02+05:30
55,0.9219,53,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 18:43:49+05:30
56,0.921643,IIT_Kanpur Express,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 19:57:15+05:30
57,0.921214,India One,"Indian Institute of Technology (IIT), Delhi",2026-07-04 18:03:22+05:30
58,0.9211,Chole bhature,"Indian Institute of Technology (IIT), Roorkee",2026-07-04 07:17:12+05:30
59,0.9209,North Star,"Management Development Institute (MDI), Gurgaon",2026-07-03 13:35:57+05:30
60,0.920214,WakaWaka,"Indian Institute of Technology (IIT), Hyderabad",2026-07-04 13:38:17+05:30
61,0.920057,simba,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 20:53:47+05:30
62,0.919714,pgp25.pragya,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 12:01:46+05:30
63,0.919643,Chuhiya,"Department of Management Studies (DoMS), Indian Institute of Technology (IIT), Madras",2026-07-04 17:49:45+05:30
64,0.919443,wushang clan,"Indian Institute of Technology (IIT), Ropar",2026-07-04 08:28:36+05:30
65,0.919414,Randoms,"Indian Institute of Technology (IIT), Madras",2026-07-03 01:30:56+05:30
66,0.919314,Aerocitysehlaadle,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 02:06:22+05:30
67,0.919143,iamkrish.kukeja.24,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 20:55:19+05:30
68,0.919,pgp25.manmeet,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 13:32:07+05:30
69,0.918971,OLTGrind,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 16:42:01+05:30
70,0.918957,bruh,"Indian Institute of Technology (IIT), Bombay",2026-07-03 14:57:51+05:30
71,0.9188,Triple Bottom Line,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 12:14:24+05:30
72,0.918743,noida,"Indian Institute of Technology (IIT), Delhi",2026-07-03 20:40:26+05:30
73,0.918586,16*2=8,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 01:46:16+05:30
74,0.918129,pppap0044,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 19:49:24+05:30
75,0.918057,The Bluechip Advisor,"Indian Institute of Technology (IIT), Guwahati",2026-07-03 20:47:47+05:30
76,0.917971,pgp41260,"Indian Institute of Management (IIM), Lucknow",2026-07-04 18:27:19+05:30
77,0.917643,nimayagrawal11,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 19:59:33+05:30
78,0.917443,suyash.bhadauria007,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 16:33:34+05:30
79,0.917429,Fast & Curious,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 22:49:29+05:30
80,0.917386,Random ML,"Management Development Institute (MDI), Gurgaon",2026-07-03 21:32:30+05:30
82,0.917114,h25007,Xavier School of Management (XLRI),2026-07-04 20:44:40+05:30
83,0.916957,Rockstar,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-04 14:13:14+05:30
84,0.9166,Potato,"Indian Institute of Technology (IIT), Delhi",2026-07-01 21:53:31+05:30
85,0.916543,MAK & Cheese,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-04 15:02:50+05:30
86,0.916186,chugli!!!!,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 11:30:23+05:30
87,0.916171,ras69208,"Indian Institute of Technology (IIT), Delhi",2026-07-04 18:20:02+05:30
88,0.916043,newGame,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 10:54:37+05:30
88,0.916043,pgp41288,"Indian Institute of Management (IIM), Lucknow",2026-07-04 15:58:02+05:30
89,0.916014,devanshghani,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 16:19:12+05:30
90,0.915971,akhileshmagotra6,"Birla Institute of Technology & Science, Pilani Campus",2026-07-04 18:33:41+05:30
91,0.9159,palakdjobanputra73460,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 18:27:33+05:30
92,0.915871,Real Madrid,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 22:20:43+05:30
93,0.915714,fire.fox1003457,"Indian Institute of Technology (IIT), Delhi",2026-07-03 05:29:49+05:30
94,0.915443,f20231282,"Birla Institute of Technology & Science, Pilani Campus",2026-07-02 21:08:01+05:30
95,0.915414,flavour.rift-5r,"Indian Institute of Technology (IIT), Delhi",2026-07-02 23:15:41+05:30
96,0.915357,idk,"Department of Management Studies (DMS), Indian Institute of Technology (IIT), Delhi",2026-07-03 02:20:09+05:30
97,0.915329,VISHU24,"Indian Institute of Technology (IIT), Kanpur",2026-07-04 18:59:28+05:30
98,0.915286,g.sriram1221,"Indian Institute of Technology (IIT), Delhi",2026-07-03 04:08:07+05:30
99,0.915143,simranjyotkaurn,"Indian Institute of Management (IIM), Lucknow",2026-07-03 03:37:23+05:30
100,0.915029,ShortKing,"Indian Institute of Technology (IIT), Delhi",2026-07-02 12:29:19+05:30
101,0.914914,spy5er,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 22:33:49+05:30
102,0.914771,sakshisurendrakumar.rathi25,"Indian Institute of Management (IIM), Bangalore",2026-07-03 00:09:53+05:30
103,0.914743,Supernova,"Indian Institute of Management (IIM), Lucknow",2026-07-04 14:27:40+05:30
104,0.914714,Strategic_Innovators,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 01:24:13+05:30
105,0.9147,Khapeetarzz,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 00:55:59+05:30
107,0.9146,Ansh Parikh,"Indian Institute of Technology (IIT), Kharagpur",2026-06-30 12:03:59+05:30
108,0.914486,zarahits,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 01:05:02+05:30
108,0.914486,X,"Indian Institute of Technology (IIT), Kharagpur",2026-07-04 12:41:58+05:30
109,0.914471,yessir,"Indian Institute of Management (IIM), Kozhikode",2026-07-04 19:19:46+05:30
110,0.914171,harshit.tripathi2202,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 21:57:17+05:30
110,0.914171,Stoppable,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 22:40:13+05:30
111,0.9141,Phoenix,"Narsee Monjee Institute of Management Studies (NMIMS), Mumbai",2026-07-04 13:39:04+05:30
112,0.913957,ex-bits,"Birla Institute of Technology & Science, Pilani Campus",2026-07-03 02:32:01+05:30
113,0.913871,Team Pilani,"Birla Institute of Technology & Science, Pilani Campus",2026-07-01 00:22:52+05:30
114,0.9137,test agency,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-06-30 20:54:34+05:30
114,0.9137,NewGenLabs,"Indian Institute of Technology, Banaras Hindu University (IIT - BHU)",2026-07-01 08:17:01+05:30
115,0.913514,Team_R,"Indian Institute of Management (IIM), Mumbai",2026-07-03 20:14:07+05:30
116,0.9132,Stalwarts,"Indian Institute of Management (IIM), Lucknow",2026-07-04 19:13:58+05:30
117,0.913171,Forza Ferrari,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 18:29:51+05:30
118,0.913143,Arth,"Indian Institute of Technology (IIT), Bombay",2026-07-02 23:44:49+05:30
119,0.9129,DefinitelyNotQualifyingBro,"Indian Institute of Management (IIM), Bangalore",2026-07-04 01:07:05+05:30
120,0.912871,shivam1308sah,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 22:08:50+05:30
121,0.912771,Culer,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 23:19:02+05:30
122,0.9126,Convex Minds,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-06-30 15:16:47+05:30
123,0.912429,sweetsweetpaul123,"Indian Institute of Technology (IIT), Delhi",2026-07-03 16:22:07+05:30
124,0.912414,focus on consult,"Indian Institute of Technology (IIT), Kharagpur",2026-07-03 09:00:26+05:30
125,0.912357,Function,"Indian Institute of Technology, Indian School of Mines (IIT ISM), Dhanbad",2026-07-04 15:21:11+05:30
126,0.912343,dawar.iitb,"Indian Institute of Technology (IIT), Bombay",2026-07-04 02:21:05+05:30
127,0.912271,b25157,"Xavier School of Management (XLRI), Jamshedpur",2026-07-04 20:07:35+05:30
128,0.912186,b25129,"Xavier School of Management (XLRI), Jamshedpur",2026-07-04 19:39:41+05:30
129,0.912114,NP143,"SP Jain Institute of Management and Research (SPJIMR), Mumbai",2026-07-03 18:26:48+05:30
129,0.912114,letssee,"Indian Institute of Management (IIM), Lucknow",2026-07-04 10:38:22+05:30
130,0.912071,Astro,"Indian Institute of Technology (IIT), Delhi",2026-07-04 07:59:49+05:30
131,0.912029,The_Original_Berf,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 17:04:09+05:30
132,0.911329,Drag,"Indian Institute of Technology (IIT), Guwahati",2026-07-04 18:51:47+05:30
133,0.9112,anantag23,"Indian Institute of Technology (IIT), Kanpur",2026-07-03 21:53:31+05:30
134,0.911129,Hustlers,"Indian Institute of Technology (IIT), Hyderabad",2026-07-03 13:08:58+05:30
135,0.911114,Team Unplaxi,"Indian Institute of Management (IIM), Calcutta",2026-07-04 18:21:41+05:30
136,0.911057,clockIT,"Indian Institute of Management (IIM), Calcutta",2026-06-30 22:53:47+05:30
