maxsc,rmse,b1,b7,bs,a6,a8,a9,a10,y,L,kap,e21,e4,s19,s20,e22,bn,p2,rwc
4.027599999999998,0.006912829355893532,dol,dol,dol,0.0,0.015,0.085,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.835600000000007,0.008416208352758196,dol,dol,dol,0.0,0.0,0.085,0.0,0.16,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.90666666666667,0.006165382755232504,dol,dol,dol,0.0,0.015,0.085,0.0,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.093333333333338,0.007856652057686871,dol,dol,dol,0.0,0.0,0.085,0.01,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.099999999999993,0.007662446041136815,dol,dol,dol,0.01,0.0,0.045,0.0,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.2996000000000265,0.009049490147291487,dol,dol,dol,0.0,0.015,0.085,0.0,0.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.476666666666667,0.008914275986885873,dol,dol,dol,0.0,0.015,0.085,0.01,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.483333333333322,0.008702579485629731,dol,dol,dol,0.0,0.015,0.085,0.0,0.16,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.486666666666677,0.007810779782762721,dol,sqrt,dol,0.0,0.015,0.045,0.0,0.12,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.555600000000016,0.008860407151417395,dol,dol,dol,0.01,0.0,0.045,0.0,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.649999999999988,0.008142434075058057,dol,dol,dol,0.01,0.015,0.045,0.0,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.659999999999998,0.008305725829544065,dol,dol,dol,0.0,0.0,0.085,0.0,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.74666666666664,0.010049784596917697,dol,dol,dol,-0.01,0.015,0.085,0.03,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.7566666666666695,0.00864207074379402,dol,dol,dol,0.0,0.015,0.085,0.01,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.903333333333334,0.010665437988262897,dol,dol,dol,0.0,0.0,0.085,0.01,0.2,0.9,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
